#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa01100	Metabolic pathways	14	1250	0.56	0.00023	9606.ENSP00000221859,9606.ENSP00000233627,9606.ENSP00000234590,9606.ENSP00000290573,9606.ENSP00000320171,9606.ENSP00000322450,9606.ENSP00000342889,9606.ENSP00000355206,9606.ENSP00000357535,9606.ENSP00000360492,9606.ENSP00000370517,9606.ENSP00000389160,9606.ENSP00000441126,9606.ENSP00000485401	POLR2I,NDUFS7,ENO1,HK2,PKM,NDUFV1,POLR2K,MT-ND3,ECHS1,NDUFA1,PFKP,NDUFA11,NDUFC1,UQCRHL
hsa01200	Carbon metabolism	5	116	1.15	0.00035	9606.ENSP00000234590,9606.ENSP00000290573,9606.ENSP00000320171,9606.ENSP00000357535,9606.ENSP00000370517	ENO1,HK2,PKM,ECHS1,PFKP
hsa05160	Hepatitis C	5	131	1.1	0.00055	9606.ENSP00000233057,9606.ENSP00000249636,9606.ENSP00000264657,9606.ENSP00000306512,9606.ENSP00000330341	EIF2AK2,PIAS1,STAT3,CXCL8,SOCS3
hsa05230	Central carbon metabolism in cancer	4	65	1.3	0.00055	9606.ENSP00000290573,9606.ENSP00000320171,9606.ENSP00000370517,9606.ENSP00000437955	HK2,PKM,PFKP,HIF1A
hsa00010	Glycolysis / Gluconeogenesis	4	68	1.28	0.00057	9606.ENSP00000234590,9606.ENSP00000290573,9606.ENSP00000320171,9606.ENSP00000370517	ENO1,HK2,PKM,PFKP
hsa03013	RNA transport	5	159	1.01	0.0011	9606.ENSP00000229179,9606.ENSP00000356448,9606.ENSP00000421592,9606.ENSP00000444029,9606.ENSP00000471191	NUP107,TPR,ALYREF,NUP153,NUP62
hsa04066	HIF-1 signaling pathway	4	98	1.12	0.0019	9606.ENSP00000234590,9606.ENSP00000264657,9606.ENSP00000290573,9606.ENSP00000437955	ENO1,STAT3,HK2,HIF1A
hsa04933	AGE-RAGE signaling pathway in diabetic complications	4	98	1.12	0.0019	9606.ENSP00000264657,9606.ENSP00000306512,9606.ENSP00000362608,9606.ENSP00000378217	STAT3,CXCL8,PIM1,PRKCD
hsa05167	Kaposi's sarcoma-associated herpesvirus infection	5	183	0.95	0.0019	9606.ENSP00000233057,9606.ENSP00000264657,9606.ENSP00000306512,9606.ENSP00000437955,9606.ENSP00000444986	EIF2AK2,STAT3,CXCL8,HIF1A,HCK
hsa05169	Epstein-Barr virus infection	5	194	0.92	0.0022	9606.ENSP00000221859,9606.ENSP00000227752,9606.ENSP00000233057,9606.ENSP00000264657,9606.ENSP00000342889	POLR2I,IL10RA,EIF2AK2,STAT3,POLR2K
hsa05200	Pathways in cancer	7	515	0.65	0.0060	9606.ENSP00000232424,9606.ENSP00000264657,9606.ENSP00000306512,9606.ENSP00000351490,9606.ENSP00000356448,9606.ENSP00000362608,9606.ENSP00000437955	HES1,STAT3,CXCL8,MAX,TPR,PIM1,HIF1A
hsa04920	Adipocytokine signaling pathway	3	69	1.15	0.0077	9606.ENSP00000264657,9606.ENSP00000330341,9606.ENSP00000341785	STAT3,SOCS3,ADIPOR1
hsa01230	Biosynthesis of amino acids	3	72	1.13	0.0083	9606.ENSP00000234590,9606.ENSP00000320171,9606.ENSP00000370517	ENO1,PKM,PFKP
hsa05164	Influenza A	4	168	0.89	0.0096	9606.ENSP00000216727,9606.ENSP00000233057,9606.ENSP00000306512,9606.ENSP00000330341	PABPN1,EIF2AK2,CXCL8,SOCS3
hsa04062	Chemokine signaling pathway	4	181	0.86	0.0121	9606.ENSP00000264657,9606.ENSP00000306512,9606.ENSP00000378217,9606.ENSP00000444986	STAT3,CXCL8,PRKCD,HCK
hsa05168	Herpes simplex infection	4	181	0.86	0.0121	9606.ENSP00000233057,9606.ENSP00000330341,9606.ENSP00000421592,9606.ENSP00000452123	EIF2AK2,SOCS3,ALYREF,SRSF5
hsa03015	mRNA surveillance pathway	3	89	1.04	0.0127	9606.ENSP00000216727,9606.ENSP00000298281,9606.ENSP00000421592	PABPN1,PCF11,ALYREF
hsa04659	Th17 cell differentiation	3	102	0.98	0.0178	9606.ENSP00000264657,9606.ENSP00000337825,9606.ENSP00000437955	STAT3,LCK,HIF1A
hsa00052	Galactose metabolism	2	31	1.32	0.0192	9606.ENSP00000290573,9606.ENSP00000370517	HK2,PFKP
hsa03020	RNA polymerase	2	31	1.32	0.0192	9606.ENSP00000221859,9606.ENSP00000342889	POLR2I,POLR2K
hsa04931	Insulin resistance	3	107	0.96	0.0192	9606.ENSP00000264657,9606.ENSP00000330341,9606.ENSP00000378217	STAT3,SOCS3,PRKCD
hsa00051	Fructose and mannose metabolism	2	33	1.3	0.0195	9606.ENSP00000290573,9606.ENSP00000370517	HK2,PFKP
hsa04140	Autophagy - animal	3	125	0.89	0.0262	9606.ENSP00000262291,9606.ENSP00000378217,9606.ENSP00000437955	VMP1,PRKCD,HIF1A
hsa04120	Ubiquitin mediated proteolysis	3	134	0.86	0.0306	9606.ENSP00000249636,9606.ENSP00000330341,9606.ENSP00000465676	PIAS1,SOCS3,PIAS2
