hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
RHBDD2,528.5,486,12.7,1033
IBTK,178.66,122,121.08,119.55
ZNF195,403.5,1.6,7.5325,296
MYCBP2,2115,323,179.5,2015.5
FBXL3,201.5,387,0.595,58.05
ITGAL,738,564,256.516,614
ZFX,1147.5,641,1415,252.5
LAMP2,229.1,493,0.535,344
GDE1,215.3,704,217.5,198
REX1BD,130.825,88,11.5325,68.355
AP2B1,164,256,15.4,240.5
ZNF263,4.5485,0.07,34.5,0.12
SPATA20,0.08,24,62.5,0.45
MAP3K9,153.78,197,80.76,179.5
RALA,855.5,1009,343.5,737
KDM7A,159.0325,0.93,34.675,7.5
AGK,101.5,0.89,286.0485,11.38
PHTF2,1669.5,421,908.5,391.5
FARP2,89.63,320,0.016,0.055
GGCT,112.435,94,814.5,0.65
DBF4,664.5,1319,528.5,339
IFRD1,1105.5,668,393,43.05
COX10,3.366,0.68,408,203.5
PAF1,198,158,136.62,35.9
VPS41,581,295,0.1295,253.5
ELAC2,51.66,44,0.445,4.075
ARSD,1.26,0.42,62.516,6.5
PNPLA4,0.182,0.018,0.08,24.013
ADIPOR2,235.8,603,111.5,47.85
PRSS21,1.1,0.07,0.0485,0.05
MARK4,1.6325,11,0.065,0.0515
CCDC124,142.8,238,141,646.5
PAFAH1B1,677,179,660.95,451
KIAA0100,72.5,139,3.165,0.635
,0.19,188,0.115,0.0515
TRAPPC6A,939,505,441,199.9
CD79B,773.5,65,0.0495,95
ST7L,103,36,7.6,118.0395
LUC7L,310,537,339.3,395
TSR3,21.08,25,2.83,63.525
CRAMP1,0.505,33,0.145,0.105
DNAJC11,126.5,0.12,0.41,1.5265
MYLIP,567,18,3.42,142.08
E2F2,0.5,0.035,55.08,0.5
PSMB1,1909.5,2070,1733.5,3370
JARID2,296.71,299,355.5,572.5
CDKL5,0.0415,0.035,570.095,0.355
CDK11A,386,413,487,957.5
NADK,10.115,52,1.555,4.6
DLEC1,0.05,0.51,0.027,0.085
CYTH3,89.5325,97,317.14,110.225
SYPL1,68.5,9.1,0.017,365.525
SPAG9,362,405,198.5,362
AASS,102.516,233,0.05,0.08
SS18L2,1770,1960,131.485,329
CRY1,146.0325,457,100.017,246.525
ST3GAL1,342.5,415,61.15,291.5
IL32,14693,13251,7898,14254
PKD1,33,0.053,0.22,1.325
MED24,15.5485,0.16,0.016,3.325
HEATR5B,21.615,90,149.5,168
SEC62,1748.5,1902,824,2154.5
RPS20,4339.5,7579,3452.5,4309.5
CSDE1,2825,3142,2756,1404.5
UBE3C,11.2,2.1,182.0485,360.5
REV3L,492,1124,98.97,1745.5
FAM76A,893.5,358,230.5,737.5
TRAF3IP3,639,211,1961.5,1340
VTA1,1581.5,859,208.605,163
BAZ1B,261.65,506,371.7,398.5
RANBP9,753,1044,337,738.5
SPRTN,104.225,10,36.516,61.55
EEF1AKNMT,92.95,0.035,257,0.3515
DYRK4,25.195,40,41.13,53.15
ZNF207,1356,1425,623.5,429.5
UQCRC1,422.9,1061,0.825,723.5
STARD3NL,64.79,1267,0.415,208.5
CD9,32.4,260,248.725,81.05
NCAPD2,35,75,108.516,0.275
IFFO1,13.065,0.053,2.715,0.875
NISCH,25.37,63,0.1875,0.355
FUZ,0.08,0.27,2.7,0.013
IDS,1970,2128,834,2133
CD4,442,1753,895.5,812.5
FYN,2046.5,3563,3161,5041
HIVEP2,221.34,363,46.205,62.5
ELOA,166.26,218,121.66,1398.5
LYPLA2,44.45,0.19,0.63,324.5
CLCN6,3.25,0.018,0.0655,382.63
NME1-NME2,3.13,1.2,40.05,0.29
BTBD7,219.095,360,104.5,390.5
APBA3,24.516,0.035,0.095,0.475
MKS1,16,3,0.0345,0.105
ABHD5,1.366,53,82.655,0.088
MBTD1,55.5,86,153.0345,373
UTP18,249.5,37,279.517,339.5
RNF216,197,321,37.175,262.8
TTC19,567,45,10.58,10.925
PTBP1,689,1031,521.5,108
PIK3C2A,20.42,119,0.0505,1.715
PLAUR,8.25,213,11.3,433.25
WIZ,20,0.018,0.566,1.2765
RABGAP1,82.065,0.018,183.08,10.5395
CEP68,266,1.2,0.1175,99.55
ZBTB32,103.5,26,21.065,117.05
TYROBP,8.62,254,0.91,4.56
TMEM159,258,37,830,351.5
BRCA1,0.023,0.14,0.0325,9.08
ERCC1,125.435,1010,43,461
CD22,0.14,0.28,0.372,2.65
EXTL3,5.0485,0.053,0.095,0.825
ELOVL5,1268.5,2383,1475.5,1745
CALCOCO1,286,2.9,0.121,0.365
UBR7,30.0325,6.7,1.015,1.515
MAP4K5,194.5485,159,0.5845,704
PSMC4,252.4,1203,49.565,218.4
MAN2B2,57.145,106,121.0345,0.14
SLC25A39,35.8,115,475.5,146.5
MVP,169.695,105,183.0325,752.5
NUB1,318.2,976,476,387.5
PGM3,0.77,298,663.5,0.17
CLK1,2821.5,5197,1753,1885
RNF14,0.1715,278,75.5,108.675
DDX11,11.516,1.3,0.485,0.5
GPRC5A,0.016,150,0.05,82.025
MAMLD1,0.245,0.088,0.12,11
CD6,420,818,431,530
TACC3,27.115,0.35,56.5,601
UFL1,476.5,718,142,220.45
ZC3H3,0.021,5.9,11.175,36.5
CAPN1,106.5,468,0.033,11.58
MDH1,1514.5,2407,1719.5,2006.5
SLC30A9,23.84,51,0.291,2.78
COX15,83.5325,90,0.08,225.025
CCDC88C,249,899,154.19,129.45
YAF2,648.5,437,534.5,41.5
ZMYND11,7.34,146,6.605,129.7
WAS,50.25,153,33.5,21
BID,701,320,557,295.5
MATR3,1419,3468,1568,1169
XYLT2,47.5,1.2,170.5,47.5
RGPD5,220,1604,5.8,87.2
NUDCD3,15.24,12,15.5,173.3
GLT8D1,13.65,288,52.5,14.555
ATP2C1,48.7,192,0.535,1508.5
IGF1,11.385,0.053,0.615,3.6395
RALBP1,206,17,222.5,222
RUFY3,0.129,0.19,0.311,0.355
WWTR1,35.5,287,14.1,26.5
AGPS,99.405,79,2.78,257.1
CXorf56,103.5,13,57.517,19.5265
CD74,11262.5,11651,9478,15454
HGF,0.0485,0.07,0.017,0.05
ZRANB1,154.5,13,154.5,97.5
NCDN,123.695,267,1.715,102.725
MNAT1,21.15,380,433.695,108
RUNX3,1369,3463,1090.5,1968.5
MRE11,171,140,0.13,340.55
PLEKHB1,0.125,105,0.08,0.17
SERPINB1,331.15,511,319.5,92.7
SPAST,74.16,19,56,0.115
AQR,49.0325,122,2.717,27.65
FHL1,108.0485,0.053,0.147,55
RTF2,547.5,271,504,469
RNF10,779.5,258,337.7,30.4
ZDHHC6,580,609,165,869
GRAMD1B,66.24,19,187,58.05
RNH1,141.8,89,130.1,462
NDUFS1,77.97,572,115.517,416
RB1CC1,792.5,1456,2095.5,906.5
ERP44,618.15,946,996.7,420
ALAS1,134.4,224,0.4435,16.35
BIRC3,15931,11221,9324,7204
AKAP11,69.84,139,952.5,8.5
GLRX2,387.5,58,0.755,105
SNAPC1,29.145,88,178.355,0.2
DERA,158.05,322,35.517,138
STRAP,695,658,636.5,1025.5
DEF6,249,58,722,118
PLEKHO1,234.5,153,43.7,71
GCLM,12.29,18,0.177,12.125
UBR2,553,85,38.325,160.625
CCDC28A,687,789,809,573
RRAGD,5.12,0.018,0.2,0.0265
HSF2,19.145,15,32.516,89.5
PHF20,563.5,836,861,637
TYMP,186,21,10.17,2.075
NCAPH2,12.5325,0.14,0.017,177.5
TOMM34,224,55,2.79,68.5
SEC63,459,689,627,425.5
KPNA6,772,1415,805.5,1021.5
VIM,3682.5,12981,5450,7680.5
FAS,852.5,3044,1119.5,1221
RNASET2,1074.5,913,303,547.5
CD44,2190,4558,2751.5,5791.5
AGPAT4,24.516,52,3.77,0.025
SLAMF7,41.55,274,1.71,39
BTN3A1,512.5,539,26.565,312.4
MIPEP,16.0325,0.035,4.075,0.013
PRKCH,715,3150,415,810
IFNGR1,525.5,849,61.43,646
B4GALT7,0.5,0.14,0.0325,141.275
SH2D2A,231,144,254.5,621
VRK2,284,35,8,79.75
TNFRSF1B,1463,2313,2738.5,1538.5
VEZT,259.5,472,1.3,462.5
POU2F2,91.5,91,242,274.5
BRD9,172,43,215.5,50.5
SNX1,597.5,312,158.85,518.5
TBPL1,277.145,869,219.085,394.5
BCLAF1,1928,1999,1190.5,1835
SLC39A9,87.2,234,228.5,0.6
ANK1,20.0465,16,0.065,16.435
TFB1M,44.065,24,0.08,0.55
RABEP1,534.5,215,478.35,376.5
HMGB3,114,0.98,35,371.5
NUP160,1.9,216,71.305,643
BAK1,0.09,1.6,0.0325,0.105
IKZF2,679.5,756,807.5,705
GRN,696.5,126,2.3,757
FAM13B,298.825,49,192,203.5
ARHGAP31,75.5325,0.018,0.086,0.5015
CENPQ,438.595,0.053,0.033,0.105
SARS1,757.5,1220,285.58,1714
RANBP3,68.5485,16,0.666,78
ARID4A,1411,586,1497.5,640.5
EIPR1,78.595,181,0.033,51.065
PNPLA6,29.21,50,0.112,161.025
IFT88,10.0325,0.53,115.5325,0.09
ALG1,23.5,85,7.645,2.25
ZCCHC8,194.5485,667,112.5,515.6
ABCF2,192,266,0.0825,252
FUT8,893.5,441,98.5,2.05
UBA6,811.5,2498,4155.5,3104
PIAS1,825.5,1989,266,447.5
SLC4A7,446,40,149.76,1095
MAP2K3,81.08,561,431,34.5
TMSB10,20268.5,29130,13513.5,12875.5
RNF19A,1580.5,2020,2084,1015
PEX3,298.5,0.12,1.166,187.2
GABARAPL2,313.42,1349,220,490
SH3YL1,55.0325,0.018,0.0325,0.47
FAM136A,219.26,2.2,82.275,272.85
VCL,49,0.12,0.162,0.8395
DAPK2,159.08,231,15,238.5
NSMAF,66.016,74,304.5,105.5
ADSS2,168.5,657,143.195,648
STAP1,4.016,0.44,9.655,1.9
TIMP2,0.35,0.12,0.62,5.5
RFC1,451.5,260,266,308
TBC1D23,383.5,394,793.1,763
CUL3,183.5,330,278.15,241
,230,862,0.0825,64.4
RPL26L1,409,365,1.017,182.5
NSUN2,71.84,1,82.155,76.5
FBXO42,124.145,544,0.101,150.55
MRI1,21,51,78.05,5.075
METTL1,1.095,0.035,510.5,0.34
PI4K2B,23.0325,2.4,7.895,79
BOD1L1,697,979,1509.5,1108
MAT2B,1272.5,1229,2105.5,2196
TRIO,0.0575,24,0.016,0.13
CLEC16A,6.5325,7.9,38.0485,1.275
MSR1,2.228,0.018,0.375,135.12
CDH1,273,0.035,0.1875,0.13
MTREX,179,510,17,26.5
ZFYVE16,166,236,291.05,4.85
RIPOR1,0.0645,0.035,17.58,14
PNKP,5.635,40,4.2,253.29
PHLPP2,491.5,3.8,0.0655,64.5
STAU2,226.5,129,15.0325,76
PHF23,267.5,2.4,14,0.745
INPP4A,502.5,215,81.74,84.5
PSMA4,1536,2311,1535,1749
LSG1,227,294,468,32.5
TDP1,52,0.035,128.5,239
AIFM2,24,0.28,124.5,0.013
MED17,497,4.9,381.5,851.5
CAPG,1011.5,665,43.5,395
AP2S1,136.45,323,75.85,153.7
ADAM28,15.63,0.42,30.26,16.075
DCUN1D1,1193.5,621,1560.5,1339.5
JADE2,72.66,74,76.595,278.5
LCP2,493.5,1163,294.5,183.45
TRIT1,0.016,5.1,3.1,187
CTNNA1,481,788,201.21,348
PHKA2,27.65,0.32,1.666,0.663
CNTLN,0.34,0.18,0.083,0.013
HSPA5,1942.5,3604,855,2343
GEMIN8,14.85,137,70.016,4.5
OFD1,1235.5,1350,908.5,1195.5
GPM6B,34.0485,107,0.8,11.0395
WDR37,114.016,0.18,1.9825,76.575
YTHDC2,302.905,111,99.095,36.6
CTPS2,475.35,47,0.016,7
ATP6V1H,83.225,68,164.76,168.5
POLR2B,453.5,163,1207,277
FAM214A,1089,475,221,35.1
ARAP2,2656,1453,799,846.5
TPR,2154,3058,911,2880
DTNBP1,22.615,106,0.0325,33.025
C12orf4,9.0325,668,0.033,0.145
SCML1,158,210,0.13,0.1
WWC3,177,0.07,17.5,0.27
MAP4,196.5,210,410.5,126.575
GOPC,43.615,237,80.55,1.625
USP28,112.5,35,2.7485,72.55
HDAC9,1.08,0.7,87.516,2.97
NOP16,577.5,664,497.5,119.5
RRM2B,70.5325,0.14,0.0325,369.855
ZNF800,430.5,264,521,504.5
TNFRSF17,0.23,0.11,0.505,14.555
SNX29,112.5,21,126.74,0.23
MRPS10,133.5,206,277.175,155.3
RSF1,508,2156,1317.5,929
VPS13D,121.5325,1.3,124,3.18
CELF2,932.5,2593,2385,668
FAM120A,766,419,1954,565
R3HDM1,23.5,344,323,20.2
H6PD,74.85,45,39.516,6.525
VAMP3,129.5,122,0.24,7
PER3,7.05,0.096,0.065,300.5
UTS2,103.35,700,135,739
TNFRSF9,804.5,1281,541.5,1752.5
RCN1,15.345,0.018,0.5485,0.038
RFC2,74.5,325,13.645,185.025
ARID1B,1499,401,660.5,466.5
CLPTM1L,41.905,0.4,158.85,509.5
NEDD4L,29.065,0.053,0.065,138.525
FOXP3,102.5,598,315,357.5
PPP1R3F,2.565,141,0.017,47.5
HEXB,143.4,254,1.12,613.5
JKAMP,398,113,327,66.5
DKK3,14.016,255,0.0485,125.5
ARHGEF5,30.23,7.1,0.017,0.5
NFE2L3,139,421,221,152.12
MCUR1,62.275,179,2.095,66
LIMA1,799,153,344.5,116.05
LETMD1,53.0485,215,40.71,88.685
TNIP3,463,351,443.6,238.5
MAPK9,43.08,452,103.016,111.025
HERPUD1,3266.5,4226,2200,4517.5
CYBA,275,64,0.311,16
THOC3,79.13,4.1,103.755,200.765
HEBP2,1.75,500,100.5,155.5
MPHOSPH9,118.725,313,71.5485,216
PLEKHA5,0.377,140,91.305,0.28
SIKE1,555,1009,1.64,447.5
RRP12,3.1325,1.3,0.017,12.265
FNIP2,0.176,0.21,606.37,285.145
MSMO1,113.855,21,0.322,393.025
TTC17,117,306,73,158.5
FOXN3,143,321,77.45,445.5
AKR7A2,38.25,17,251.5,1.025
MRTO4,59.725,0.3,0.502,0.485
USE1,101.13,378,0.121,262.5
MCF2L2,16.0485,0.018,0.082,0.1515
AP5M1,93,294,13.5325,427.5
ANAPC4,68.016,125,1376.5,39.2
TRAPPC3,58.1,77,0.033,149.55
THRAP3,6483.5,3386,4017.5,5301.5
PHPT1,1082.5,1419,648.35,404.5
LY75,722.5,923,660,486.35
ARID4B,1952,2496,2277,2374.5
OPN3,0.277,0.11,0.3085,0.2645
SDCCAG8,235.84,295,1.24,0.72
HHAT,0.021,32,0.0345,0.025
KIF1B,177.5,631,89,2.49
TBC1D22A,20.5325,1.4,48.17,7
SYNE2,2146.5,4648,1945.5,4829.5
FAM168A,16.5485,90,9,222.08
RELT,147.516,0.21,0.44,0.59
GALC,186.5,0.6,157,319.2
NOP58,6245,9636,3889.5,7859.5
SZRD1,92.385,158,266.15,63.5
CUL1,269.1,244,345,283
FAM114A2,24.66,80,30.516,60.5
CYFIP2,800.5,1844,260.5,134
TAB2,556,1276,1541.5,871.5
GINM1,70.16,446,76.5,61.7
EIF2AK2,636,311,641.92,645.65
,856,125,204,48.5
KMT2C,894,1791,1234.5,526
PUM2,603,642,266.1,552.55
MRPL43,104.25,298,38.275,166.425
ITIH4,1.9,20,0.017,6
HPF1,92.71,187,118.095,850
ZFR,544.5,1052,335.17,969.5
ZNF280C,1.05,62,0.017,272.5395
TRAF1,249.5,345,63.55,44.75
RC3H2,324,425,530,319
TRAF3IP2,21.0325,0.053,44,0.0265
SOAT1,386.5,797,1.975,77.5
GDI2,1193.5,1436,1167.5,598
PRDM1,12329,7526,6113.5,6358
ATG5,916.5,657,909,737.5
TMCC3,1.41,0.21,0.017,1
PITHD1,224.5,11,0.42,428.5
USP13,74.016,140,0.016,0.13
ATP11B,117.1,565,201,91
CDK14,21.0325,0.12,0.066,0.09
SEC61A1,57.55,143,1.445,161.5
PPP1R12A,1031.5,820,341.5,1497.5
POLR3E,1326.5,1137,559.5,745.5
ATP2B4,682.5,615,400,1231.5
ZC3H11A,586,2387,499,1492
RIOK2,40.4,72,373.5,66.075
YIPF1,7.25,491,0.12,152.025
NDC1,0.53,4.6,822.605,0.0395
FLYWCH1,9,0.088,87.5485,17.5
UNKL,81,0.035,0.017,178.5
TBXAS1,94.775,0.21,515,0.1015
PARP12,102.516,799,313.2,344.5
ALDH18A1,28.08,17,0.177,105.1
TARBP1,21.1,0.32,2.045,6.475
GATB,1.15,0.035,0.033,0.8265
MXD1,28.5,101,47.6,286.5
CDK17,209.675,240,600.25,784.315
SLC2A3,1079.5,3718,1637,188
PSD,0.48,3.9,3.35,21.4
YBX3,0.38,51,220.57,0.87
WNK1,1959,1469,973,868
CCAR1,330.5,327,762,783
OGFR,4.605,0.018,17.5,80.05
GNA15,65.3,149,100,2.0395
SNRNP40,407.5,45,90.225,1.375
QSER1,12.87,55,68.0345,0.0515
MPC1,404,279,730,517.5
ACAA1,146,749,8.0485,51.075
BCAT1,21.76,0.6,381.205,150
HDAC7,18.8,100,11.1,41
SPAG4,0.0325,304,0.58,0.425
MRPS35,216.24,90,0.73,1.225
SFSWAP,84.8,171,147.5,188.5
TNK2,28.805,0.19,0.0325,52.5
MON2,215.5,307,263.5,208.5
GPBP1,4644.5,3793,3534,2638
CS,461.5,1052,1.79,281.125
MRPS24,181,559,187.15,173.4
ELMO2,42.145,314,35.5,74.825
WAPL,302.5,918,71.5,788.5
VMP1,1426.5,1983,1709,3580
APPBP2,246,67,0.066,156.3
POLD1,0.014,0.018,0.225,20
EIF4B,3201.5,2452,1605.5,3027
RPL18,3435,4297,2263.5,1074.5
U2AF2,147,37,12.016,17.55
EPN1,2.545,0.018,62.0485,17.55
MED29,585,446,187,104.6
ZNF275,25.115,0.07,137.31,229.5395
MTMR1,58,0.23,7.25,192.5
HAGH,72.25,604,0.1025,210.05
RNF4,618,244,443,380
CASP8,339.5,932,315.79,975
INTS13,99.5,522,1091.5,946.5
TM7SF3,51.42,177,17.5,1.175
ST3GAL6,0.415,0.018,0.2575,0.025
TAF2,89.65,559,0.415,31.35
HIPK2,527,646,320.5,462.5
TNPO3,129.95,1.7,7.016,23
RFXANK,17.355,6,0.175,279.025
LPAR2,18.5,376,199.5,0.3
CTSA,235.05,780,158.5,361
SUGP2,194.5,260,0.115,259
SLC12A2,1881,550,669.655,1083.5
CNN2,886,1174,548.5,297.5
DDX20,143.5,743,48.24,128.525
BTBD1,29.5,218,245.5,52.8
FAR2,7.615,0.018,0.345,44.525
CHI3L2,26,0.088,103.5,0.0395
SBNO2,37,54,59,0.13
PMS1,83.0325,0.19,41.615,456.5
HMG20B,29.195,0.14,0.067,0.013
TAF11,109.225,89,0.54,771.5
AP3D1,410,87,78.5,123.695
NTHL1,0.295,26,0.0485,49.5
UHRF1BP1,0.32,1.1,0.08,0.145
GNAI3,1466.5,1054,1243,947.5
IPO5,22.13,30,47.66,227.025
OAT,151.2,186,1.995,318
PKN2,811.5,317,104.93,192
TRAM2,24.516,79,0.065,0.105
DGKA,288.675,245,522,641.5
ANKRD44,1273.5,334,806.5,2203.5
KARS1,401,1377,182,474
PDIA5,0.087,0.053,0.16,0.088
TBC1D22B,40.5,94,1.167,0.0395
NDUFB4,1439,1651,530.5,949
SPEN,773,233,913,1192
ZC3H15,749.5,1092,517.5,492
MAP2K4,57.5,279,176,19.4
PACC1,46.5,0.16,212,0.013
SLK,654,1637,659,819
CYB5R4,179.2,466,241.5,42.12
SEC61A2,4.966,0.42,0.016,8.025
PRKCQ,235.5,483,0.25,104
ASB1,39.016,102,10.016,62.2
FAM107B,943.5,2595,3293.5,2887
TBC1D1,40.405,2,1.917,0.315
CDK13,428,575,103.95,238.5
MTHFD2,967,1564,630.4,581.5
SLC9A7,131.0325,433,0.29,0.36
FOXJ2,102.645,14,0.016,103
YBX1,2102.5,5098,3515,5729.5
PDE4A,279,1108,289.5,444
PPP2R5A,142,138,581,8.21
ELAVL1,164.35,229,0.36,622.55
DIP2B,39.5,170,0.066,0.013
SMARCD1,78,149,42.2,0.16
NFYC,69.71,121,78.74,29.65
ASPM,29.5,100,0.235,128
CD84,639.5,461,582.5,519
ELOVL1,302,2.1,0.1185,109.1
ZNRD1,91.675,349,471,630
ZBTB11,336,215,430.5,126.55
ATXN3,169.66,309,144,289
GOLGA5,35.15,88,18.57,52.55
LRRC40,37,388,0.435,672.5
ISOC1,162.5,142,785.55,417.4
TRMT11,626,0.25,33,193.5
THUMPD1,1098.5,1264,839.5,2091
MSANTD3,0.665,0.63,119.105,17.5
ATG2B,88.45,391,10.0325,14.6
ARFGEF1,132.5,208,0.305,162.5
MTFR1,8.08,0.07,1.1,1.3265
STAG3,1.485,4.3,0.017,4.45
FECH,173.35,91,0.016,364.025
MYO9A,440.5,83,0.84,224
PFKP,166,487,244,84.225
IDI1,2197,3080,1232.5,229
SP100,889.5,1362,733,1206.5
KLF6,3198.5,12909,2892,9740
PLPP1,121.245,7.5,0.44,39.255
TRAM1,2154,1364,208.5,2478
TNFRSF1A,21.34,68,1.3,118.075
EVI5,0.5915,0.053,0.325,0.925
PKM,1206,1543,2421,959.5
DHX29,1088,273,204.26,15.275
DNTTIP2,1197,3572,814,2045.5
TP53BP1,58.5485,111,92.565,62.5
RRP15,363.5,108,384.0345,1050
RHOA,3716,4718,2939.5,3568
,54.675,350,5.115,97
IARS2,61.87,88,43.05,111.5
IDH3G,329.5,589,285.05,24.55
ROCK1,1010,1185,611,1905.5
CBFB,1437.5,708,7.085,373
PDK3,96.6,0.14,0.2095,101.5
HDAC4,100.145,279,8.016,55
RASSF1,6.87,296,29.695,5
IFI35,173.66,33,0.0325,0.49
HEATR6,48.15,28,7.017,0.145
COASY,10.74,16,98.0325,84.7
MEF2A,17.975,3.7,344.5,637
OTUD5,110,413,24.225,826.63
TFE3,37.095,57,234.5,51.5
TBC1D25,70,213,0.5195,0.485
ACSL4,210.55,297,329.016,1183.5
GPKOW,14.58,43,308.5,321.5
GRIPAP1,179.34,64,174.0485,38.2
FTSJ1,18.516,82,0.24,38.075
PRR11,0.315,0.93,0.016,66.105
ATP11A,91,0.088,89.21,0.0515
POLR1A,13.016,16,0.115,2.48
LAPTM4A,340,639,1.675,503
TTC7A,19.5,45,0.0505,1.95
IP6K2,316.5,211,474.5,532
SRBD1,3.755,0.018,0.0345,62.17
KIF2A,399.5,176,1286.5,701
RASGRP2,21.65,1.3,0.08,0.6395
PSME4,295.05,452,440,584.5
IFT80,54.58,212,1.1,0.055
SIRT2,66.15,199,0.0485,128
ERLEC1,938,986,375.4,1031
MAST4,653,707,891,1308.5
NUP133,9.5325,21,0.245,0.23
NUCKS1,1111.5,1600,621.5,2270
VPS35,531.5,1152,383,406
DNAJA2,419.5,969,359.5,430
BCL3,41.6,28,0.375,95.2
KCNAB2,70.5,116,286.5,12.6
ABCC9,0.267,0.07,0.016,0.205
CLEC2D,5100.5,5781,4584.5,5265.5
FUNDC1,58.13,0.035,0.43,0.0395
RORA,3519.5,5296,1643,3991.5
TGFBR3,82.885,256,7,0.38
ATP1B3,4984.5,7268,1889.5,3096
NEDD4,16.84,914,0.097,8.605
PIGB,116.0485,216,263.017,0.135
MAPK6,234,472,297.5,90
GNB5,72.15,331,0.016,16.55
RAB27A,1110.5,2051,1384.5,1131
UFD1,537,1573,683.5,1084
PHRF1,19,7.3,0.29,90.5
ELP1,240,39,52,2.965
NUCB2,165,525,342,475.5
DAPP1,813.5,1236,958.5,384
SLC44A1,82.805,0.018,0.45,37.95
EXOC5,295,688,237.5,1073.5
RNF126,13.5485,0.14,0.0325,20.925
MNT,9.87,0.07,81.65,0.445
ZXDC,0.125,164,0.016,0.275
JMJD6,530.5,1012,137,772.5
POLB,89.25,315,0.255,0.285
WIPI1,7.145,332,0.205,56.125
GBA2,0.4975,24,0.017,114.05
ASNS,292,143,0.0345,6.7
AP3M2,221.5,821,0.0655,649.5
PABPC1,6230.5,11822,6473,7438
CFAP20,41.5,538,395.93,987.5
CSNK2A2,812,668,665,779
EIF2B3,27,83,15.5,253.55
TCOF1,129,86,12.016,48.5
CDC42,8307.5,12324,6949,12887.5
OSBPL3,240,163,259.645,50.29
RAD18,811.5,374,3.3825,25.8
ATP2B1,2188,291,630,1965
NCK2,377.5,133,318.5,679.5
MAP4K4,623.5,263,236.65,104.05
MGAT4A,3763.5,2795,2432,577.5
RPL31,4934.5,8446,3525.5,3006.5
WDR1,151.5,651,188.35,634
SNX13,6.5485,61,12.55,414.5
ARHGAP10,41.15,0.46,1.9325,0.105
ING3,377.6,1721,0.55,1253
VASH1,0.007,0.053,0.017,0.0815
BUD23,309.42,2059,619.4,185.5
SEL1L,1873.5,77,486,1009.5
ATP6AP1,138.275,44,339.5,128.025
TCF3,14.595,0.82,45.45,102
TRIB2,837.5,559,851.5,71.63
DAZAP1,14.095,6.2,116.5,356.5
MBD3,47.275,165,0.08,0.963
HLTF,132.5,56,0.435,6.1
FAM50A,142,322,0.097,192
FAM3A,44.016,0.11,0.065,0.038
CPSF1,8.115,0.23,69.016,0.9
PDCD2,311.5,446,275.5,166
RDH11,305.05,542,56.97,627
PRKACA,13.645,0.088,0.212,62.645
ACTN1,0.67,0.21,1.17,76.5
ZFYVE26,0.465,73,0.13,9.1
EPN2,43.35,49,0.07,0.13
PTPN18,74.325,68,179,348.5
LNX1,150.55,0.39,79.5,0.13
ALDH3A2,82.985,11,0.016,12.025
TFRC,1012,744,1074.5,573.5
AFF4,90.47,489,165.395,294.575
UBE2D1,25.1,171,0.365,202.55
MPP5,0.0345,89,0.375,0.088
SMC1A,793,306,108,1330.5
HSD17B10,284,672,872.07,147.55
MARK2,36.016,0.11,1.165,0.913
