##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
SUMOylation of DNA damage response and repair proteins	Reactome	R-HSA-3108214	4	71	4.12700780714e-07	4.95240936857e-06	UBE2I|SMC3|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108214
Antiviral mechanism by IFN-stimulated genes	Reactome	R-HSA-1169410	4	77	5.62948036716e-07	6.2834173725e-06	EIF4E|TPR|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169410
Interferon Signaling	Reactome	R-HSA-913531	5	194	5.67252957239e-07	6.2834173725e-06	EIF4E|ADAR|TPR|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-913531
mRNA surveillance pathway	KEGG PATHWAY	hsa03015	4	91	1.06846031012e-06	1.13969099746e-05	PCF11|CPSF6|ALYREF|EIF4A3	http://www.genome.jp/kegg-bin/show_pathway?hsa03015/hsa:11052%09red/hsa:51585%09red/hsa:9775%09red/hsa:10189%09red
SUMOylation of SUMOylation proteins	Reactome	R-HSA-4085377	3	31	2.79371655985e-06	2.87353703298e-05	UBE2I|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4085377
SUMOylation of ubiquitinylation proteins	Reactome	R-HSA-3232142	3	34	3.62146406917e-06	3.5964884549e-05	UBE2I|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232142
Viral Messenger RNA Synthesis	Reactome	R-HSA-168325	3	40	5.7326902458e-06	5.50338263597e-05	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168325
SUMOylation of DNA replication proteins	Reactome	R-HSA-4615885	3	42	6.58423847169e-06	6.11696993499e-05	UBE2I|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4615885
mRNA Splicing - Minor Pathway	Reactome	R-HSA-72165	3	52	1.2105416295e-05	0.000108948746655	SNRPB|POLR2G|SF3B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72165
SUMOylation of chromatin organization proteins	Reactome	R-HSA-4551638	3	66	2.39876044002e-05	0.000209346365675	UBE2I|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4551638
mRNA decay by 5' to 3' exoribonuclease	Reactome	R-HSA-430039	2	15	8.40627397938e-05	0.000692165351244	LSM7|LSM3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-430039
tRNA processing	Reactome	R-HSA-72306	3	103	8.65206689055e-05	0.000692165351244	TPR|TRMT10C|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72306
Transcriptional regulation by small RNAs	Reactome	R-HSA-5578749	3	103	8.65206689055e-05	0.000692165351244	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5578749
Cell Cycle	Reactome	R-HSA-1640170	5	629	0.00014909391568	0.00114048523887	UBE2I|SMC3|RANBP2|SMARCA5|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170
@@Cell cycle	KEGG PATHWAY	hsa04110	2	124	0.00460600582268	0.0144188008362	SMC3|PRKDC	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:9126%09red/hsa:5591%09red
DNA Repair	Reactome	R-HSA-73894	4	331	0.000150480691239	0.00114048523887	UBE2I|POLR2G|SMARCA5|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894
Influenza Viral RNA Transcription and Replication	Reactome	R-HSA-168273	3	131	0.000173118865029	0.00127841623406	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168273
Gene Silencing by RNA	Reactome	R-HSA-211000	3	133	0.000180845447036	0.00130208721866	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211000
Late Phase of HIV Life Cycle	Reactome	R-HSA-162599	3	136	0.000192849589847	0.00135465077746	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162599
Deadenylation of mRNA	Reactome	R-HSA-429947	2	24	0.000199968714782	0.00137121404422	EIF4E|EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-429947
Influenza Life Cycle	Reactome	R-HSA-168255	3	141	0.000213984110359	0.00143319590194	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168255
Immune System	Reactome	R-HSA-168256	8	2096	0.000233070788113	0.00150837009713	DHX9|DDX3X|ADAR|PRKDC|TPR|EIF4E|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
HIV Life Cycle	Reactome	R-HSA-162587	3	149	0.000250825315301	0.00150837009713	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162587
Influenza Infection	Reactome	R-HSA-168254	3	152	0.00026563045383	0.00150837009713	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168254
Regulation of Glucokinase by Glucokinase Regulatory Protein	Reactome	R-HSA-170822	2	28	0.0002671072047	0.00150837009713	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170822
NEP/NS2 Interacts with the Cellular Export Machinery	Reactome	R-HSA-168333	2	28	0.0002671072047	0.00150837009713	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168333
Processing of Capped Intronless Pre-mRNA	Reactome	R-HSA-75067	2	28	0.0002671072047	0.00150837009713	SNRPB|PCF11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75067
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	Reactome	R-HSA-5619107	2	28	0.0002671072047	0.00150837009713	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619107
Transport of Ribonucleoproteins into the Host Nucleus	Reactome	R-HSA-168271	2	28	0.0002671072047	0.00150837009713	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168271
Vpr-mediated nuclear import of PICs	Reactome	R-HSA-180910	2	30	0.000304254432925	0.00162269030894	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180910
Export of Viral Ribonucleoproteins from Nucleus	Reactome	R-HSA-168274	2	30	0.000304254432925	0.00162269030894	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168274
Nuclear import of Rev protein	Reactome	R-HSA-180746	2	30	0.000304254432925	0.00162269030894	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180746
Rev-mediated nuclear export of HIV RNA	Reactome	R-HSA-165054	2	31	0.000323719323107	0.00169511209191	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-165054
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	3	166	0.000342185207886	0.00173697940303	UBE2I|SMARCA5|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532
Nuclear Pore Complex (NPC) Disassembly	Reactome	R-HSA-3301854	2	32	0.000343777173516	0.00173697940303	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3301854
Interactions of Rev with host cellular proteins	Reactome	R-HSA-177243	2	33	0.000364427067577	0.00177889822817	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-177243
Interactions of Vpr with host cellular proteins	Reactome	R-HSA-176033	2	33	0.000364427067577	0.00177889822817	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176033
NS1 Mediated Effects on Host Pathways	Reactome	R-HSA-168276	2	37	0.000452928784822	0.00217405816714	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168276
Host Interactions with Influenza Factors	Reactome	R-HSA-168253	2	39	0.000500708149929	0.00236399913409	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168253
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	5	836	0.00054403635995	0.00252713663977	EIF4E|ADAR|TPR|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Viral carcinogenesis	KEGG PATHWAY	hsa05203	3	201	0.000592063518059	0.00270657608256	SNW1|DDX3X|CHD4	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:1654%09red/hsa:1108%09red/hsa:22938%09red
Nuclear Envelope Breakdown	Reactome	R-HSA-2980766	2	46	0.000686336489303	0.00308851420186	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980766
HIV Infection	Reactome	R-HSA-162906	3	227	0.000837742362668	0.00371184308382	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162906
Post-translational protein modification	Reactome	R-HSA-597592	6	1412	0.000881650752942	0.00384720328557	UBE2I|SMC3|PRKDC|TPR|SNRPC|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
tRNA processing in the nucleus	Reactome	R-HSA-6784531	2	54	0.000933224563522	0.00401147275066	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6784531
Metabolism of proteins	Reactome	R-HSA-392499	7	2012	0.00102819396062	0.00432113740692	UBE2I|SMC3|PRKDC|TPR|EIF4E|SNRPC|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499
Signaling by FGFR in disease	Reactome	R-HSA-1226099	2	57	0.00103527250374	0.00432113740692	CPSF6|POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1226099
@@Signaling by FGFR	Reactome	R-HSA-190236	1	77	0.0604180562909	0.0805574083879	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190236
Cytosolic sensors of pathogen-associated DNA 	Reactome	R-HSA-1834949	2	62	0.0012167297815	0.00500597395816	DHX9|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834949
Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	2	66	0.00137207131544	0.00548828526175	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371453
Glycolysis	Reactome	R-HSA-70171	2	66	0.00137207131544	0.00548828526175	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70171
Disease	Reactome	R-HSA-1643685	5	1049	0.00148713651721	0.00586705913641	CPSF6|POLR2G|SNW1|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
RNA polymerase II transcribes snRNA genes	Reactome	R-HSA-6807505	2	74	0.00170964946763	0.00665377090106	PCF11|POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807505
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome	R-HSA-5693565	2	76	0.00179960616703	0.00690232780591	UBE2I|SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693565
DNA Double Strand Break Response	Reactome	R-HSA-5693606	2	77	0.00184541403144	0.00690232780591	UBE2I|SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693606
Meiotic synapsis	Reactome	R-HSA-1221632	2	77	0.00184541403144	0.00690232780591	UBE2I|SMC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1221632
RNA degradation	KEGG PATHWAY	hsa03018	2	79	0.00193868443345	0.00715821944658	LSM7|LSM3	http://www.genome.jp/kegg-bin/show_pathway?hsa03018/hsa:51690%09red/hsa:27258%09red
Glucose metabolism	Reactome	R-HSA-70326	2	85	0.00223167049021	0.00813571014153	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70326
Cellular response to heat stress	Reactome	R-HSA-3371556	2	86	0.00228241373818	0.00821668945743	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371556
Generic Transcription Pathway	Reactome	R-HSA-212436	5	1193	0.00259468303594	0.00922553968335	UBE2I|POLR2G|SNW1|CHD4|STRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
SLC transporter disorders	Reactome	R-HSA-5619102	2	96	0.0028196271975	0.00990308088877	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619102
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	3	359	0.00305013168275	0.0105835894534	POLR2G|CHD4|STRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
Positive epigenetic regulation of rRNA expression	Reactome	R-HSA-5250913	2	104	0.00328799392916	0.0112731220428	SMARCA5|CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250913
Infectious disease	Reactome	R-HSA-5663205	3	372	0.00336732323884	0.0114092834445	POLR2G|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663205
Diseases of signal transduction	Reactome	R-HSA-5663202	3	374	0.0034178464896	0.0114458115	CPSF6|POLR2G|SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
M Phase	Reactome	R-HSA-68886	3	384	0.00367744667601	0.0121736165826	SMC3|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68886
Nucleotide Excision Repair	Reactome	R-HSA-5696398	2	111	0.00372558623698	0.0121928276847	UBE2I|POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696398
Meiosis	Reactome	R-HSA-1500620	2	116	0.00405385317734	0.0131180866862	UBE2I|SMC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1500620
Resolution of Sister Chromatid Cohesion	Reactome	R-HSA-2500257	2	123	0.00453518607576	0.0143531163716	SMC3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2500257
Host Interactions of HIV factors	Reactome	R-HSA-162909	2	123	0.00453518607576	0.0143531163716	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162909
tRNA processing in the mitochondrion	Reactome	R-HSA-6785470	1	5	0.00477934433254	0.0148005501911	TRMT10C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785470
Mitotic Prophase	Reactome	R-HSA-68875	2	134	0.00534222713522	0.0163676746271	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68875
Reproduction	Reactome	R-HSA-1474165	2	141	0.00588760622552	0.0178487430837	UBE2I|SMC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474165
Epigenetic regulation of gene expression	Reactome	R-HSA-212165	2	146	0.00629212186354	0.0187126245724	SMARCA5|CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212165
SUMO is transferred from E1 to E2 (UBE2I, UBC9)	Reactome	R-HSA-3065678	1	7	0.00636749030587	0.0187126245724	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3065678
DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	Reactome	R-HSA-3134963	1	7	0.00636749030587	0.0187126245724	DHX9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134963
Estrogen-dependent gene expression	Reactome	R-HSA-9018519	2	149	0.00654076640852	0.0190276840975	SMC3|POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018519
tRNA modification in the mitochondrion	Reactome	R-HSA-6787450	1	8	0.00716063377259	0.0206226252651	TRMT10C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6787450
Regulation of TP53 Activity	Reactome	R-HSA-5633007	2	159	0.00740141737511	0.0211050317231	CHD4|STRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633007
Disorders of transmembrane transporters	Reactome	R-HSA-5619115	2	172	0.00859245540344	0.0233201707437	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619115
Cell Cycle, Mitotic	Reactome	R-HSA-69278	3	525	0.0086572250151	0.0233201707437	SMC3|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69278
Processing and activation of SUMO	Reactome	R-HSA-3215018	1	10	0.00874506402887	0.0233201707437	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3215018
rRNA processing in the mitochondrion	Reactome	R-HSA-8868766	1	10	0.00874506402887	0.0233201707437	TRMT10C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8868766
Cohesin Loading onto Chromatin	Reactome	R-HSA-2470946	1	10	0.00874506402887	0.0233201707437	SMC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2470946
Negative regulation of activity of TFAP2 (AP-2) family transcription factors	Reactome	R-HSA-8866904	1	10	0.00874506402887	0.0233201707437	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866904
SLBP independent Processing of Histone Pre-mRNAs	Reactome	R-HSA-111367	1	10	0.00874506402887	0.0233201707437	SNRPB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111367
Establishment of Sister Chromatid Cohesion	Reactome	R-HSA-2468052	1	11	0.00953635176248	0.0243050381203	SMC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2468052
SUMOylation of immune response proteins	Reactome	R-HSA-4755510	1	11	0.00953635176248	0.0243050381203	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4755510
mRNA Editing	Reactome	R-HSA-75072	1	11	0.00953635176248	0.0243050381203	ADAR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75072
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	Reactome	R-HSA-77588	1	11	0.00953635176248	0.0243050381203	SNRPB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77588
Vitamin D (calciferol) metabolism	Reactome	R-HSA-196791	1	11	0.00953635176248	0.0243050381203	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196791
Separation of Sister Chromatids	Reactome	R-HSA-2467813	2	186	0.00996454457254	0.0251735862885	SMC3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2467813
Mitotic Anaphase	Reactome	R-HSA-68882	2	194	0.0107894392376	0.0269051894273	SMC3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68882
