#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SF3B1	SNRPB2	4440663	4433966	9606.ENSP00000335321	9606.ENSP00000246071	0	0	0	0	0.246	0.990	0.900	0.211	0.999
RPL22	RPS17	4441587	4441582	9606.ENSP00000346088	9606.ENSP00000346046	0	0	0	0	0.927	0.992	0.900	0.756	0.999
RPL22	RPSA	4441587	4441585	9606.ENSP00000346088	9606.ENSP00000346067	0	0	0	0	0.778	0.991	0.900	0.512	0.999
CCT4	CCT3	4446274	4437177	9606.ENSP00000377958	9606.ENSP00000295688	0	0	0.357	0.840	0.993	0.966	0.900	0.882	0.999
CNOT6L	CNOT7	4449311	4442644	9606.ENSP00000424896	9606.ENSP00000355279	0	0	0	0	0.067	0.956	0.900	0.869	0.999
ALYREF	THOC2	4449181	4433949	9606.ENSP00000421592	9606.ENSP00000245838	0	0	0	0	0.511	0.995	0.900	0.869	0.999
SNRPB	SNRPC	4448654	4433898	9606.ENSP00000412566	9606.ENSP00000244520	0	0	0	0	0.740	0.991	0.900	0.802	0.999
CCT2	CCT7	4437556	4434598	9606.ENSP00000299300	9606.ENSP00000258091	0	0	0.291	0.836	0.993	0.966	0.900	0.895	0.999
NOP56	KRR1	4445513	4433449	9606.ENSP00000370589	9606.ENSP00000229214	0	0	0	0	0.846	0.962	0.900	0.610	0.999
PSMB9	PSMC1	4444464	4434851	9606.ENSP00000363993	9606.ENSP00000261303	0	0	0	0	0.704	0.962	0.900	0.481	0.999
EIF3M	EIF3C	4449770	4440376	9606.ENSP00000436049	9606.ENSP00000332604	0	0	0	0	0.630	0.992	0.900	0.852	0.999
PSMB10	PSMA2	4442129	4433278	9606.ENSP00000351314	9606.ENSP00000223321	0	0	0.243	0	0.684	0.964	0.900	0.530	0.999
RAN	RANBP2	4450191	4436527	9606.ENSP00000446215	9606.ENSP00000283195	0	0	0	0	0.367	0.989	0.900	0.703	0.999
CCT4	CCT7	4446274	4434598	9606.ENSP00000377958	9606.ENSP00000258091	0	0	0.367	0.840	0.993	0.962	0.900	0.895	0.999
RPS17	RPS9	4441582	4437909	9606.ENSP00000346046	9606.ENSP00000302896	0	0	0	0	0.922	0.992	0.900	0.587	0.999
PSMC1	PSMD8	4434851	4432854	9606.ENSP00000261303	9606.ENSP00000215071	0	0	0	0	0.859	0.994	0.900	0.772	0.999
PSMB9	PSMA2	4444464	4433278	9606.ENSP00000363993	9606.ENSP00000223321	0	0	0	0	0.808	0.984	0.900	0.519	0.999
NDUFA13	NDUFB9	4449261	4436240	9606.ENSP00000423673	9606.ENSP00000276689	0	0	0	0	0.970	0.870	0.900	0.401	0.999
SNRPA1	SNRPB2	4434347	4433966	9606.ENSP00000254193	9606.ENSP00000246071	0	0	0	0	0.529	0.993	0.900	0.960	0.999
EIF3I	EIF3C	4444219	4440376	9606.ENSP00000362688	9606.ENSP00000332604	0	0	0	0	0.523	0.958	0.900	0.893	0.999
RPS9	RPL8	4437909	4435108	9606.ENSP00000302896	9606.ENSP00000262584	0.167	0	0	0	0.988	0.992	0.900	0.589	0.999
RPSA	RPL8	4441585	4435108	9606.ENSP00000346067	9606.ENSP00000262584	0.100	0	0	0	0.990	0.992	0.900	0.512	0.999
SNRPB	SNRPA1	4448654	4434347	9606.ENSP00000412566	9606.ENSP00000254193	0	0	0	0	0.394	0.989	0.900	0.555	0.999
RPS15A	RPL8	4439216	4435108	9606.ENSP00000318646	9606.ENSP00000262584	0.167	0	0.233	0	0.997	0.988	0.900	0.344	0.999
PSMB6	PSMC1	4435950	4434851	9606.ENSP00000270586	9606.ENSP00000261303	0	0	0	0	0.764	0.989	0.900	0.618	0.999
RPL22	RPS9	4441587	4437909	9606.ENSP00000346088	9606.ENSP00000302896	0	0	0	0	0.891	0.991	0.900	0.762	0.999
RPS15A	RPS9	4439216	4437909	9606.ENSP00000318646	9606.ENSP00000302896	0.167	0	0	0	0.969	0.986	0.900	0.666	0.999
LSM3	LSM7	4437830	4434242	9606.ENSP00000302160	9606.ENSP00000252622	0	0	0	0	0.350	0.998	0.900	0.925	0.999
PSMD6	PSMC1	4448980	4434851	9606.ENSP00000418695	9606.ENSP00000261303	0	0	0	0	0.919	0.973	0.900	0.734	0.999
RAN	NUTF2	4450191	4433066	9606.ENSP00000446215	9606.ENSP00000219169	0	0	0	0	0.569	0.975	0.900	0.893	0.999
RPL10A	RPS17	4444285	4441582	9606.ENSP00000363018	9606.ENSP00000346046	0	0	0	0	0.976	0.960	0.900	0.369	0.999
RPL10A	RPS15A	4444285	4439216	9606.ENSP00000363018	9606.ENSP00000318646	0.167	0	0	0	0.997	0.991	0.900	0.698	0.999
CCT3	CCT7	4437177	4434598	9606.ENSP00000295688	9606.ENSP00000258091	0	0	0.371	0.822	0.996	0.969	0.900	0.884	0.999
RPSA	RPS17	4441585	4441582	9606.ENSP00000346067	9606.ENSP00000346046	0	0	0	0	0.871	0.990	0.900	0.619	0.999
PSMB6	PSMA2	4435950	4433278	9606.ENSP00000270586	9606.ENSP00000223321	0	0	0	0	0.951	0.989	0.900	0.738	0.999
NDUFS6	NDUFB10	4436114	4435837	9606.ENSP00000274137	9606.ENSP00000268668	0	0	0	0	0.933	0.972	0.900	0.547	0.999
PSMB6	PSMD8	4435950	4432854	9606.ENSP00000270586	9606.ENSP00000215071	0	0	0	0	0.878	0.992	0.900	0.503	0.999
RPS17	RPL8	4441582	4435108	9606.ENSP00000346046	9606.ENSP00000262584	0.152	0	0	0	0.971	0.991	0.900	0.406	0.999
BAZ1B	SMARCA5	4441256	4436522	9606.ENSP00000342434	9606.ENSP00000283131	0	0	0	0	0.202	0.871	0.900	0.945	0.999
RPSA	RPS15A	4441585	4439216	9606.ENSP00000346067	9606.ENSP00000318646	0.083	0	0	0	0.956	0.990	0.900	0.308	0.999
EIF3M	RPS9	4449770	4437909	9606.ENSP00000436049	9606.ENSP00000302896	0	0	0	0	0.770	0.960	0.900	0.067	0.999
RPL10A	RPSA	4444285	4441585	9606.ENSP00000363018	9606.ENSP00000346067	0	0	0	0	0.952	0.991	0.900	0.425	0.999
EIF3M	EIF3I	4449770	4444219	9606.ENSP00000436049	9606.ENSP00000362688	0	0	0	0	0.973	0.955	0.900	0.869	0.999
EIF3I	RPSA	4444219	4441585	9606.ENSP00000362688	9606.ENSP00000346067	0	0	0	0	0.969	0.674	0.900	0.502	0.999
PSMD6	PSMD8	4448980	4432854	9606.ENSP00000418695	9606.ENSP00000215071	0	0	0	0	0.722	0.970	0.900	0.894	0.999
RPL22	RPL8	4441587	4435108	9606.ENSP00000346088	9606.ENSP00000262584	0	0	0	0	0.953	0.992	0.900	0.191	0.999
SMC3	WAPAL	4442527	4437519	9606.ENSP00000354720	9606.ENSP00000298767	0	0	0	0	0.144	0.891	0.900	0.949	0.999
UQCRQ	UQCRFS1	4445100	4438219	9606.ENSP00000367939	9606.ENSP00000306397	0	0	0	0	0.920	0.972	0.900	0.800	0.999
CCT4	CCT2	4446274	4437556	9606.ENSP00000377958	9606.ENSP00000299300	0	0	0.276	0.798	0.995	0.966	0.900	0.883	0.999
RPS17	RPS15A	4441582	4439216	9606.ENSP00000346046	9606.ENSP00000318646	0	0	0	0	0.982	0.992	0.900	0.424	0.999
RPL10A	RPL8	4444285	4435108	9606.ENSP00000363018	9606.ENSP00000262584	0.167	0	0	0	0.999	0.992	0.900	0.591	0.999
NDUFB9	NDUFB10	4436240	4435837	9606.ENSP00000276689	9606.ENSP00000268668	0	0	0	0	0.948	0.958	0.900	0.630	0.999
ARPC1B	ACTR2	4447620	4444985	9606.ENSP00000389631	9606.ENSP00000367220	0	0	0	0	0.941	0.998	0.900	0.950	0.999
ATP5J	ATP5H	4447621	4437775	9606.ENSP00000389649	9606.ENSP00000301587	0	0	0	0	0.952	0.805	0.900	0.674	0.999
NDUFA13	NDUFS6	4449261	4436114	9606.ENSP00000423673	9606.ENSP00000274137	0	0	0	0	0.802	0.954	0.900	0.510	0.999
ATP5J	ATP5E	4447621	4433873	9606.ENSP00000389649	9606.ENSP00000243997	0	0	0	0	0.900	0.976	0.900	0.262	0.999
RPL10A	RPS9	4444285	4437909	9606.ENSP00000363018	9606.ENSP00000302896	0.167	0	0	0	0.952	0.992	0.900	0.404	0.999
RPSA	RPS9	4441585	4437909	9606.ENSP00000346067	9606.ENSP00000302896	0.111	0	0	0	0.987	0.991	0.900	0.470	0.999
RPL22	RPS15A	4441587	4439216	9606.ENSP00000346088	9606.ENSP00000318646	0	0	0	0	0.972	0.992	0.900	0.366	0.999
EIF3L	EIF3I	4452102	4444219	9606.ENSP00000485663	9606.ENSP00000362688	0	0	0	0	0.661	0.948	0.900	0.843	0.999
ATP5A1	ATP5H	4446852	4437775	9606.ENSP00000381736	9606.ENSP00000301587	0	0	0	0	0.826	0.971	0.900	0.799	0.999
CCT2	CCT3	4437556	4437177	9606.ENSP00000299300	9606.ENSP00000295688	0	0	0.332	0.767	0.993	0.967	0.900	0.860	0.999
UBE2I	RANBP2	4441792	4436527	9606.ENSP00000348056	9606.ENSP00000283195	0	0	0	0	0.098	0.990	0.900	0.802	0.999
EIF3M	RPSA	4449770	4441585	9606.ENSP00000436049	9606.ENSP00000346067	0	0	0	0	0.868	0.958	0.900	0.125	0.999
S100A10	ANXA2	4443194	4441580	9606.ENSP00000357801	9606.ENSP00000346032	0	0	0	0	0.759	0.538	0.900	0.921	0.999
PTTG1	ANAPC11	4446209	4441990	9606.ENSP00000377536	9606.ENSP00000349957	0	0	0	0	0.076	0.993	0.900	0.578	0.999
RPL10A	RPL22	4444285	4441587	9606.ENSP00000363018	9606.ENSP00000346088	0	0	0	0	0.960	0.992	0.900	0.698	0.999
SNW1	SNRPA1	4434897	4434347	9606.ENSP00000261531	9606.ENSP00000254193	0	0	0	0	0.202	0.975	0.900	0.615	0.999
NDUFC1	NDUFB9	4449976	4436240	9606.ENSP00000441126	9606.ENSP00000276689	0	0	0	0	0.664	0.937	0.900	0.535	0.998
NDUFA3	NDUFS6	4448964	4436114	9606.ENSP00000418438	9606.ENSP00000274137	0	0	0	0	0.404	0.965	0.900	0.423	0.998
ATP5C1	ATP5E	4441891	4433873	9606.ENSP00000349142	9606.ENSP00000243997	0	0	0	0	0.501	0.802	0.900	0.831	0.998
SOD2	SOD1	4450194	4435927	9606.ENSP00000446252	9606.ENSP00000270142	0	0	0	0	0.176	0.624	0.900	0.959	0.998
WDR43	NOP56	4447102	4445513	9606.ENSP00000384302	9606.ENSP00000370589	0	0	0	0	0.910	0.651	0.900	0.706	0.998
SNRPB	EIF4A3	4448654	4435883	9606.ENSP00000412566	9606.ENSP00000269349	0	0	0	0	0.576	0.963	0.900	0.117	0.998
SNRPB	SNRPB2	4448654	4433966	9606.ENSP00000412566	9606.ENSP00000246071	0	0	0	0	0.374	0.958	0.900	0.624	0.998
RPN1	DAD1	4437255	4434135	9606.ENSP00000296255	9606.ENSP00000250498	0	0	0	0	0.203	0.788	0.900	0.935	0.998
NDUFA13	NDUFB10	4449261	4435837	9606.ENSP00000423673	9606.ENSP00000268668	0	0	0	0	0.829	0.870	0.900	0.425	0.998
NDUFC1	NDUFA1	4449976	4443745	9606.ENSP00000441126	9606.ENSP00000360492	0	0	0	0	0.551	0.937	0.900	0.641	0.998
HIF1A	EP300	4449842	4435224	9606.ENSP00000437955	9606.ENSP00000263253	0	0	0	0	0.055	0.974	0.900	0.614	0.998
SNW1	RBM22	4434897	4432775	9606.ENSP00000261531	9606.ENSP00000199814	0	0	0	0	0.130	0.958	0.900	0.673	0.998
NDUFA1	NDUFB10	4443745	4435837	9606.ENSP00000360492	9606.ENSP00000268668	0	0	0	0	0.173	0.929	0.900	0.696	0.998
NDUFC1	NDUFS6	4449976	4436114	9606.ENSP00000441126	9606.ENSP00000274137	0	0	0	0	0.386	0.938	0.900	0.548	0.998
ATP5A1	ATP5G3	4446852	4436602	9606.ENSP00000381736	9606.ENSP00000284727	0.154	0	0	0	0.826	0.809	0.900	0.584	0.998
SNRPB	LSM7	4448654	4434242	9606.ENSP00000412566	9606.ENSP00000252622	0	0	0	0	0.277	0.960	0.900	0.568	0.998
EIF1AX	RPS9	4445241	4437909	9606.ENSP00000368927	9606.ENSP00000302896	0.219	0	0	0	0.311	0.960	0.900	0.275	0.998
EIF3M	RPS15A	4449770	4439216	9606.ENSP00000436049	9606.ENSP00000318646	0	0	0	0	0.595	0.960	0.900	0.049	0.998
EIF3I	RPS9	4444219	4437909	9606.ENSP00000362688	9606.ENSP00000302896	0	0	0	0	0.955	0.731	0.900	0.087	0.998
NOP56	NHP2	4445513	4436148	9606.ENSP00000370589	9606.ENSP00000274606	0	0	0	0	0.926	0.355	0.720	0.884	0.998
SNRPB	LSM3	4448654	4437830	9606.ENSP00000412566	9606.ENSP00000302160	0	0	0	0	0.351	0.960	0.900	0.586	0.998
CWC15	SNW1	4451135	4434897	9606.ENSP00000475615	9606.ENSP00000261531	0	0	0	0	0.240	0.958	0.900	0.598	0.998
PSMD6	PSMB6	4448980	4435950	9606.ENSP00000418695	9606.ENSP00000270586	0	0	0	0	0.568	0.947	0.900	0.441	0.998
SEC11C	SPCS3	4450883	4449402	9606.ENSP00000468633	9606.ENSP00000427463	0	0	0	0	0.836	0.429	0.900	0.869	0.998
ATP5C1	ATP5G3	4441891	4436602	9606.ENSP00000349142	9606.ENSP00000284727	0.154	0	0	0	0.867	0.734	0.900	0.702	0.998
NDUFA1	NDUFS6	4443745	4436114	9606.ENSP00000360492	9606.ENSP00000274137	0	0	0	0	0.300	0.919	0.900	0.710	0.998
NDUFC1	NDUFB10	4449976	4435837	9606.ENSP00000441126	9606.ENSP00000268668	0	0	0	0	0.659	0.937	0.900	0.530	0.998
SNRPB	SF3B1	4448654	4440663	9606.ENSP00000412566	9606.ENSP00000335321	0	0	0	0	0.624	0.960	0.900	0.277	0.998
TRA2B	SRSF6	4448854	4433875	9606.ENSP00000416959	9606.ENSP00000244020	0	0	0	0	0.391	0.930	0.900	0.642	0.998
PSMB10	PSMB6	4442129	4435950	9606.ENSP00000351314	9606.ENSP00000270586	0	0	0	0.731	0.652	0.947	0.900	0.794	0.998
SNRPN	SNRPC	4446975	4433898	9606.ENSP00000382972	9606.ENSP00000244520	0	0	0	0	0.645	0.922	0.900	0.598	0.998
NDUFA3	NDUFB10	4448964	4435837	9606.ENSP00000418438	9606.ENSP00000268668	0	0	0	0	0.362	0.929	0.900	0.511	0.997
ALYREF	TRA2B	4449181	4448854	9606.ENSP00000421592	9606.ENSP00000416959	0	0	0.237	0	0.934	0.170	0.900	0.550	0.997
EIF3M	RPS17	4449770	4441582	9606.ENSP00000436049	9606.ENSP00000346046	0	0	0	0	0.498	0.960	0.900	0	0.997
EIF4A3	SNRPA1	4435883	4434347	9606.ENSP00000269349	9606.ENSP00000254193	0	0	0	0	0.255	0.959	0.900	0.149	0.997
RPL22	SEC61B	4441587	4433288	9606.ENSP00000346088	9606.ENSP00000223641	0	0	0	0	0.269	0.960	0.900	0.191	0.997
LSM3	SNRPB2	4437830	4433966	9606.ENSP00000302160	9606.ENSP00000246071	0	0	0	0	0.499	0.959	0.900	0.117	0.997
SNRPA1	LSM7	4434347	4434242	9606.ENSP00000254193	9606.ENSP00000252622	0	0	0	0	0.157	0.960	0.900	0.472	0.997
RPS9	SEC61B	4437909	4433288	9606.ENSP00000302896	9606.ENSP00000223641	0	0	0	0	0.158	0.971	0.900	0	0.997
SNRPA1	RBM22	4434347	4432775	9606.ENSP00000254193	9606.ENSP00000199814	0	0	0	0	0.067	0.960	0.900	0.382	0.997
RAB1A	GDI2	4447492	4445338	9606.ENSP00000387286	9606.ENSP00000369538	0	0	0	0	0.071	0.937	0.900	0.644	0.997
ATP5A1	ATP5E	4446852	4433873	9606.ENSP00000381736	9606.ENSP00000243997	0	0	0	0	0.171	0.830	0.900	0.819	0.997
NDUFA3	NDUFB9	4448964	4436240	9606.ENSP00000418438	9606.ENSP00000276689	0	0	0	0	0.467	0.942	0.900	0.384	0.997
RAD23A	XPC	4450835	4436614	9606.ENSP00000467024	9606.ENSP00000285021	0	0	0	0	0.061	0.829	0.900	0.873	0.997
PDIA6	HSP90B1	4447225	4437604	9606.ENSP00000385385	9606.ENSP00000299767	0	0	0	0	0.940	0.085	0.900	0.617	0.997
NDUFA3	NDUFA1	4448964	4443745	9606.ENSP00000418438	9606.ENSP00000360492	0	0	0	0	0.215	0.933	0.900	0.647	0.997
GNG2	GNAI2	4440566	4438833	9606.ENSP00000334448	9606.ENSP00000312999	0	0	0	0	0.062	0.964	0.900	0.271	0.997
PSMB9	PSMD8	4444464	4432854	9606.ENSP00000363993	9606.ENSP00000215071	0	0	0	0	0.727	0.871	0.900	0.429	0.997
CWC15	SNRPA1	4451135	4434347	9606.ENSP00000475615	9606.ENSP00000254193	0	0	0	0	0.102	0.960	0.900	0.270	0.997
EIF1AX	RPS15A	4445241	4439216	9606.ENSP00000368927	9606.ENSP00000318646	0.219	0	0	0	0.274	0.960	0.900	0.173	0.997
ATP5J	ATP5G3	4447621	4436602	9606.ENSP00000389649	9606.ENSP00000284727	0	0	0	0	0.829	0.809	0.900	0.360	0.997
LSM3	SNRPA1	4437830	4434347	9606.ENSP00000302160	9606.ENSP00000254193	0	0	0	0	0.324	0.960	0.900	0.312	0.997
CWC15	RBM22	4451135	4432775	9606.ENSP00000475615	9606.ENSP00000199814	0	0	0	0	0.092	0.960	0.900	0.438	0.997
RSL1D1	NOP56	4450638	4445513	9606.ENSP00000460871	9606.ENSP00000370589	0	0	0	0	0.904	0.960	0	0.447	0.997
MRPS6	MRPL33	4446909	4437235	9606.ENSP00000382250	9606.ENSP00000296102	0.077	0	0	0	0.455	0.944	0.900	0.383	0.997
EIF4A3	RBM22	4435883	4432775	9606.ENSP00000269349	9606.ENSP00000199814	0	0	0	0	0.167	0.955	0.900	0.146	0.996
NDUFC1	NDUFA3	4449976	4448964	9606.ENSP00000441126	9606.ENSP00000418438	0	0	0	0	0.179	0.934	0.900	0.471	0.996
NDUFA1	NDUFB9	4443745	4436240	9606.ENSP00000360492	9606.ENSP00000276689	0	0	0	0	0.561	0.874	0.900	0.474	0.996
SF3B1	LSM7	4440663	4434242	9606.ENSP00000335321	9606.ENSP00000252622	0	0	0	0	0.106	0.960	0.900	0.212	0.996
SNRPB	RBM22	4448654	4432775	9606.ENSP00000412566	9606.ENSP00000199814	0	0	0	0	0.074	0.960	0.900	0.092	0.996
SNRPB	SNW1	4448654	4434897	9606.ENSP00000412566	9606.ENSP00000261531	0	0	0	0	0.178	0.959	0.900	0.076	0.996
USP10	G3BP1	4450566	4446228	9606.ENSP00000457411	9606.ENSP00000377681	0	0	0	0	0.180	0.952	0	0.923	0.996
ATP5G2	ATP5C1	4446264	4441891	9606.ENSP00000377878	9606.ENSP00000349142	0.154	0	0	0	0.653	0.734	0.900	0.601	0.996
RPN1	SEC61B	4437255	4433288	9606.ENSP00000296255	9606.ENSP00000223641	0	0	0	0	0.104	0.960	0.900	0.172	0.996
ATP5H	ATP5G3	4437775	4436602	9606.ENSP00000301587	9606.ENSP00000284727	0	0	0	0	0.674	0.736	0.900	0.652	0.996
EIF3I	RPL8	4444219	4435108	9606.ENSP00000362688	9606.ENSP00000262584	0	0	0	0	0.959	0.054	0.900	0.126	0.996
CWC15	EIF4A3	4451135	4435883	9606.ENSP00000475615	9606.ENSP00000269349	0	0	0	0	0.107	0.961	0.900	0.103	0.996
RPS17	SEC61B	4441582	4433288	9606.ENSP00000346046	9606.ENSP00000223641	0	0	0	0	0.285	0.960	0.900	0	0.996
SRP9	RPL8	4438111	4435108	9606.ENSP00000305230	9606.ENSP00000262584	0	0	0	0	0.166	0.958	0.900	0.112	0.996
SF3B1	LSM3	4440663	4437830	9606.ENSP00000335321	9606.ENSP00000302160	0	0	0	0	0.180	0.960	0.900	0.077	0.996
RPSA	SEC61B	4441585	4433288	9606.ENSP00000346067	9606.ENSP00000223641	0	0	0	0	0.127	0.958	0.900	0.064	0.996
LSM7	SNRPB2	4434242	4433966	9606.ENSP00000252622	9606.ENSP00000246071	0	0	0	0	0.229	0.958	0.900	0.131	0.996
CWC15	SNRPB2	4451135	4433966	9606.ENSP00000475615	9606.ENSP00000246071	0	0	0	0	0.121	0.959	0.900	0	0.996
RPL8	SEC61B	4435108	4433288	9606.ENSP00000262584	9606.ENSP00000223641	0	0	0	0	0.181	0.960	0.900	0.042	0.996
RPN1	RPL8	4437255	4435108	9606.ENSP00000296255	9606.ENSP00000262584	0	0	0	0	0.085	0.960	0.900	0	0.996
CWC15	SNRPB	4451135	4448654	9606.ENSP00000475615	9606.ENSP00000412566	0	0	0	0	0.229	0.960	0.900	0.095	0.996
RPL22	SRP9	4441587	4438111	9606.ENSP00000346088	9606.ENSP00000305230	0	0	0	0	0.174	0.958	0.900	0.112	0.996
RPS15A	SEC61B	4439216	4433288	9606.ENSP00000318646	9606.ENSP00000223641	0	0	0	0	0.274	0.960	0.900	0	0.996
NCOA3	EP300	4443859	4435224	9606.ENSP00000361066	9606.ENSP00000263253	0	0	0	0	0.064	0.856	0.900	0.698	0.995
PRPF40A	RBM25	4447382	4434986	9606.ENSP00000386458	9606.ENSP00000261973	0	0	0	0	0.498	0.957	0	0.807	0.995
PSMD6	PSMB9	4448980	4444464	9606.ENSP00000418695	9606.ENSP00000363993	0	0	0	0	0.552	0.873	0.900	0.323	0.995
NDUFA13	NDUFA1	4449261	4443745	9606.ENSP00000423673	9606.ENSP00000360492	0	0	0	0	0.363	0.859	0.900	0.606	0.995
SNRPN	SNRPA1	4446975	4434347	9606.ENSP00000382972	9606.ENSP00000254193	0	0	0	0	0.110	0.926	0.900	0.396	0.995
MRPS6	MRPS18C	4446909	4437158	9606.ENSP00000382250	9606.ENSP00000295491	0	0	0	0	0.204	0.922	0.900	0.311	0.995
PSMB10	PSMC1	4442129	4434851	9606.ENSP00000351314	9606.ENSP00000261303	0	0	0	0	0.731	0.732	0.900	0.509	0.995
RPL22	RPN1	4441587	4437255	9606.ENSP00000346088	9606.ENSP00000296255	0	0	0	0	0.046	0.960	0.900	0	0.995
GDI2	RAB8A	4445338	4437702	9606.ENSP00000369538	9606.ENSP00000300935	0	0	0	0	0.063	0.845	0.900	0.726	0.995
ATP5G2	ATP5H	4446264	4437775	9606.ENSP00000377878	9606.ENSP00000301587	0	0	0	0	0.594	0.734	0.900	0.651	0.995
PSMB9	PSME2	4444464	4432984	9606.ENSP00000363993	9606.ENSP00000216802	0	0	0	0	0.648	0.607	0.900	0.686	0.995
SQSTM1	GABARAPL2	4445887	4432616	9606.ENSP00000374455	9606.ENSP00000037243	0	0	0	0	0.064	0.786	0.800	0.900	0.995
SNW1	SNRPB2	4434897	4433966	9606.ENSP00000261531	9606.ENSP00000246071	0	0	0	0	0.198	0.950	0.900	0	0.995
UQCRQ	NDUFB9	4445100	4436240	9606.ENSP00000367939	9606.ENSP00000276689	0	0	0	0	0.948	0.829	0	0.482	0.995
TOMM20	VDAC1	4442701	4435583	9606.ENSP00000355566	9606.ENSP00000265333	0	0	0	0	0.206	0.475	0.900	0.872	0.994
GDI2	RAB8B	4445338	4438817	9606.ENSP00000369538	9606.ENSP00000312734	0	0	0	0	0.109	0.906	0.900	0.417	0.994
ALYREF	EIF4A3	4449181	4435883	9606.ENSP00000421592	9606.ENSP00000269349	0	0	0	0	0.396	0.754	0.900	0.696	0.994
SNRPB2	SNRPC	4433966	4433898	9606.ENSP00000246071	9606.ENSP00000244520	0	0	0	0	0.541	0.571	0.900	0.775	0.994
ATG12	GABARAPL2	4449317	4432616	9606.ENSP00000425107	9606.ENSP00000037243	0	0	0	0	0.062	0.186	0.900	0.937	0.994
RBM17	SF3B1	4447560	4440663	9606.ENSP00000388638	9606.ENSP00000335321	0	0	0	0	0.550	0.681	0.900	0.655	0.994
SF3B1	SNW1	4440663	4434897	9606.ENSP00000335321	9606.ENSP00000261531	0	0	0	0	0.382	0.773	0.900	0.640	0.994
EP300	KMT2C	4435224	4435027	9606.ENSP00000263253	9606.ENSP00000262189	0	0	0	0	0.845	0.280	0.900	0.528	0.994
TRAPPC4	RAB1A	4449767	4447492	9606.ENSP00000436005	9606.ENSP00000387286	0	0	0	0	0.047	0.552	0.900	0.883	0.994
ANAPC11	RNF7	4441990	4436081	9606.ENSP00000349957	9606.ENSP00000273480	0	0	0	0	0.501	0	0.900	0.896	0.994
UQCRQ	NDUFS6	4445100	4436114	9606.ENSP00000367939	9606.ENSP00000274137	0	0	0	0	0.943	0.868	0	0.257	0.994
WDR43	KRR1	4447102	4433449	9606.ENSP00000384302	9606.ENSP00000229214	0	0	0	0	0.680	0.708	0.900	0.515	0.994
SNRPB2	RBM22	4433966	4432775	9606.ENSP00000246071	9606.ENSP00000199814	0	0	0	0	0.070	0.945	0.900	0.074	0.994
DERL1	DERL2	4434709	4432675	9606.ENSP00000259512	9606.ENSP00000158771	0	0	0	0.829	0.063	0.937	0.900	0.881	0.994
ATP5J	ATP5A1	4447621	4446852	9606.ENSP00000389649	9606.ENSP00000381736	0	0	0	0	0.298	0.834	0.900	0.546	0.994
ATP5A1	ATP5G2	4446852	4446264	9606.ENSP00000381736	9606.ENSP00000377878	0.154	0	0	0	0.592	0.735	0.900	0.536	0.994
